Date,Hour,ED_Patients
6/29/2018,0,23
6/29/2018,1,20
6/29/2018,2,16
6/29/2018,3,6
6/29/2018,4,4
6/29/2018,5,4
6/29/2018,6,0
6/29/2018,7,6
6/29/2018,8,8
6/29/2018,9,15
6/29/2018,10,27
6/29/2018,11,35
6/29/2018,12,44
6/29/2018,13,45
6/29/2018,14,48
6/29/2018,15,52
6/29/2018,16,57
6/29/2018,17,57
6/29/2018,18,56
6/29/2018,19,46
6/29/2018,20,46
6/29/2018,21,44
6/29/2018,22,44
6/29/2018,23,28
6/30/2018,0,24
6/30/2018,1,20
6/30/2018,2,17
6/30/2018,3,7
6/30/2018,4,5
6/30/2018,5,5
6/30/2018,6,6
6/30/2018,7,12
6/30/2018,8,15
6/30/2018,9,21
6/30/2018,10,29
6/30/2018,11,31
6/30/2018,12,37
6/30/2018,13,38
6/30/2018,14,44
6/30/2018,15,39
6/30/2018,16,42
6/30/2018,17,32
6/30/2018,18,34
6/30/2018,19,34
6/30/2018,20,31
6/30/2018,21,26
6/30/2018,22,23
6/30/2018,23,22
7/1/2018,0,26
7/1/2018,1,25
7/1/2018,2,21
7/1/2018,3,16
7/1/2018,4,15
7/1/2018,5,14
7/1/2018,6,7
7/1/2018,7,9
7/1/2018,8,12
7/1/2018,9,17
7/1/2018,10,23
7/1/2018,11,27
7/1/2018,12,37
7/1/2018,13,45
7/1/2018,14,40
7/1/2018,15,37
7/1/2018,16,37
7/1/2018,17,41
7/1/2018,18,38
7/1/2018,19,36
7/1/2018,20,34
7/1/2018,21,35
7/1/2018,22,39
7/1/2018,23,37
7/2/2018,0,35
7/2/2018,1,29
7/2/2018,2,30
7/2/2018,3,27
7/2/2018,4,21
7/2/2018,5,18
7/2/2018,6,14
7/2/2018,7,18
7/2/2018,8,19
7/2/2018,9,25
7/2/2018,10,25
7/2/2018,11,30
7/2/2018,12,34
7/2/2018,13,42
7/2/2018,14,46
7/2/2018,15,48
7/2/2018,16,40
7/2/2018,17,41
7/2/2018,18,48
7/2/2018,19,52
7/2/2018,20,42
7/2/2018,21,43
7/2/2018,22,38
7/2/2018,23,30
7/3/2018,0,39
7/3/2018,1,39
7/3/2018,2,35
7/3/2018,3,27
7/3/2018,4,26
7/3/2018,5,21
7/3/2018,6,15
7/3/2018,7,11
7/3/2018,8,10
7/3/2018,9,13
7/3/2018,10,18
7/3/2018,11,24
7/3/2018,12,30
7/3/2018,13,35
7/3/2018,14,34
7/3/2018,15,41
7/3/2018,16,53
7/3/2018,17,52
7/3/2018,18,58
7/3/2018,19,54
7/3/2018,20,49
7/3/2018,21,52
7/3/2018,22,49
7/3/2018,23,38
7/4/2018,0,38
7/4/2018,1,34
7/4/2018,2,27
7/4/2018,3,25
7/4/2018,4,13
7/4/2018,5,11
7/4/2018,6,12
7/4/2018,7,11
7/4/2018,8,15
7/4/2018,9,18
7/4/2018,10,21
7/4/2018,11,20
7/4/2018,12,25
7/4/2018,13,33
7/4/2018,14,40
7/4/2018,15,38
7/4/2018,16,36
7/4/2018,17,39
7/4/2018,18,33
7/4/2018,19,38
7/4/2018,20,30
7/4/2018,21,28
7/4/2018,22,24
7/4/2018,23,25
7/5/2018,0,24
7/5/2018,1,19
7/5/2018,2,15
7/5/2018,3,14
7/5/2018,4,9
7/5/2018,5,10
7/5/2018,6,6
7/5/2018,7,11
7/5/2018,8,14
7/5/2018,9,15
7/5/2018,10,16
7/5/2018,11,31
7/5/2018,12,43
7/5/2018,13,50
7/5/2018,14,58
7/5/2018,15,54
7/5/2018,16,43
7/5/2018,17,41
7/5/2018,18,41
7/5/2018,19,35
7/5/2018,20,45
7/5/2018,21,47
7/5/2018,22,54
7/5/2018,23,47
7/6/2018,0,42
7/6/2018,1,35
7/6/2018,2,32
7/6/2018,3,24
7/6/2018,4,18
7/6/2018,5,10
7/6/2018,6,12
7/6/2018,7,12
7/6/2018,8,15
7/6/2018,9,22
7/6/2018,10,36
7/6/2018,11,44
7/6/2018,12,46
7/6/2018,13,52
7/6/2018,14,53
7/6/2018,15,53
7/6/2018,16,50
7/6/2018,17,47
7/6/2018,18,53
7/6/2018,19,52
7/6/2018,20,49
7/6/2018,21,46
7/6/2018,22,51
7/6/2018,23,40
7/7/2018,0,31
7/7/2018,1,26
7/7/2018,2,23
7/7/2018,3,20
7/7/2018,4,18
7/7/2018,5,15
7/7/2018,6,14
7/7/2018,7,12
7/7/2018,8,15
7/7/2018,9,13
7/7/2018,10,21
7/7/2018,11,19
7/7/2018,12,28
7/7/2018,13,37
7/7/2018,14,42
7/7/2018,15,41
7/7/2018,16,47
7/7/2018,17,48
7/7/2018,18,41
7/7/2018,19,36
7/7/2018,20,40
7/7/2018,21,39
7/7/2018,22,32
7/7/2018,23,32
7/8/2018,0,34
